,0,1
0,ADP,for
0,DET,the
0,NOUN,maintenance
0,CONJ,and
0,NOUN,control
0,ADP,of
0,PRT,all
0,NOUN,state
0,NOUN,transportation
0,.,.
0,DET,The
0,NOUN,motor
0,NOUN,pool
0,ADV,then
0,.,","
0,ADP,as
0,ADV,now
0,.,","
0,VERB,had
0,NOUN,headquarter
0,NOUN,facilities
0,ADP,in
0,NOUN,Providence
0,CONJ,and
0,ADJ,other
0,NOUN,garages
0,VERB,located
0,ADP,throughout
0,DET,the
0,NOUN,state
0,.,.
0,PRON,It
0,VERB,was
0,ADV,organizationally
0,DET,the
0,NOUN,responsibility
0,ADP,of
0,DET,the
0,NOUN,Department
0,ADP,of
0,ADJ,Public
0,NOUN,Works
0,CONJ,and
0,VERB,was
0,VERB,financed
0,ADP,on
0,DET,a
0,ADJ,rotary
0,NOUN,fund
0,NOUN,basis
0,ADP,with
0,DET,each
0,NOUN,agency
0,ADP,of
0,NOUN,government
0,VERB,contributing
0,ADP,to
0,DET,the
0,NOUN,pool's
0,NOUN,operation
0,.,.
0,ADP,In
0,NUM,1951
0,DET,the
0,NOUN,pool's
0,NOUN,operation
0,VERB,was
0,VERB,transferred
0,ADP,to
0,DET,the
0,ADJ,newly-created
0,NOUN,Department
0,ADP,of
0,NOUN,Administration
0,.,","
0,DET,an
0,NOUN,agency
0,VERB,established
0,ADP,as
0,DET,the
0,ADJ,central
0,NOUN,staff
0,CONJ,and
0,ADJ,auxiliary
0,NOUN,department
0,ADP,of
0,DET,the
0,NOUN,state
0,NOUN,government
0,.,.
0,DET,The
0,NOUN,management
0,ADP,of
0,ADJ,state-owned
0,NOUN,vehicles
0,ADP,since
0,DET,that
0,NOUN,time
0,VERB,has
0,VERB,been
0,VERB,described
0,ADP,in
0,DET,a
0,ADJ,recent
0,NOUN,report
0,ADP,in
0,DET,the
0,VERB,following
0,NOUN,manner
0,.,:
0,.,``
0,ADP,Under
0,DET,this
0,ADJ,new
0,NOUN,management
0,ADJ,considerable
0,NOUN,progress
0,VERB,appears
0,PRT,to
0,VERB,have
0,VERB,been
0,VERB,made
0,.,.
0,DET,The
0,NOUN,agencies
0,ADP,of
0,NOUN,government
0,VERB,are
0,ADV,now
0,VERB,billed
0,ADP,for
0,DET,the
0,ADJ,actual
0,NOUN,cost
0,ADP,of
0,NOUN,services
0,VERB,provided
0,ADP,to
0,DET,each
0,NOUN,passenger
0,NOUN,car
0,ADP,rather
0,ADP,than
0,DET,the
0,ADJ,prior
0,ADJ,uniform
0,NOUN,charge
0,ADP,for
0,PRT,all
0,NOUN,cars
0,.,.
0,ADP,Whereas
0,DET,the
0,NOUN,maintenance
0,ADJ,rotary
0,NOUN,fund
0,VERB,had
0,ADP,in
0,DET,the
0,NOUN,past
0,VERB,sustained
0,NOUN,losses
0,ADV,considerably
0,ADP,beyond
0,NOUN,expectations
0,.,","
0,DET,the
0,NOUN,introduction
0,ADP,of
0,DET,the
0,NOUN,cost-billing
0,NOUN,system
0,CONJ,plus
0,ADJ,other
0,NOUN,control
0,NOUN,refinements
0,VERB,has
0,VERB,resulted
0,ADP,in
0,VERB,keeping
0,DET,the
0,NOUN,fund
0,ADP,on
0,DET,a
0,ADJ,proper
0,VERB,working
0,NOUN,basis
0,.,.
0,NUM,One
0,NOUN,indication
0,ADP,of
0,DET,the
0,NOUN,merits
0,ADP,of
0,DET,the
0,ADJ,new
0,NOUN,management
0,VERB,is
0,VERB,found
0,ADP,in
0,DET,the
0,NOUN,fact
0,ADP,that
0,ADP,during
0,DET,the
0,NOUN,period
0,NUM,1951-1956
0,.,","
0,ADP,while
0,ADJ,total
0,ADJ,annual
0,NOUN,mileage
0,VERB,put
0,ADP,on
0,DET,the
0,NOUN,vehicles
0,VERB,increased
0,NOUN,35%
0,.,","
0,DET,the
0,ADJ,total
0,NOUN,maintenance
0,NOUN,cost
0,VERB,increased
0,ADV,only
0,NOUN,11%
0,.,.
0,.,``
0,ADP,In
0,NOUN,order
0,PRT,to
0,ADV,further
0,VERB,refine
0,DET,the
0,NOUN,management
0,ADP,of
0,NOUN,passenger
0,NOUN,vehicles
0,.,","
0,ADP,on
0,NOUN,July
0,NUM,1
0,.,","
0,NUM,1958
0,.,","
0,DET,the
0,ADJ,actual
0,NOUN,title
0,ADP,to
0,DET,every
0,NOUN,vehicle
0,VERB,was
0,VERB,transferred
0,.,","
0,ADP,by
0,ADJ,Executive
0,NOUN,Order
0,.,","
0,ADP,to
0,DET,the
0,NOUN,Division
0,ADP,of
0,NOUN,Methods
0,.,","
0,NOUN,Research
0,CONJ,and
0,NOUN,Office
0,NOUN,Services
0,.,.
0,DET,The
0,NOUN,objective
0,ADP,behind
0,DET,this
0,NOUN,action
0,VERB,was
0,PRT,to
0,VERB,place
0,ADP,in
0,NUM,one
0,NOUN,agency
0,DET,the
0,NOUN,responsibility
0,ADP,for
0,DET,the
0,NOUN,management
0,.,","
0,NOUN,assignment
0,.,","
0,CONJ,and
0,NOUN,replacement
0,ADP,of
0,PRT,all
0,NOUN,vehicles
0,.,.
0,.,(
0,VERB,Note
0,.,:
0,ADV,So
0,ADV,far
0,ADP,as
0,NOUN,State
0,NOUN,Police
0,NOUN,cars
0,VERB,are
0,VERB,concerned
0,.,","
0,ADV,only
0,DET,their
0,NOUN,replacement
0,VERB,is
0,ADP,under
0,DET,this
0,NOUN,division
0,.,)
0,.,.
0,DET,This
0,VERB,tied
0,PRT,in
0,ADV,closely
0,ADP,with
0,DET,the
0,ADJ,current
0,NOUN,attempt
0,PRT,to
0,VERB,upgrade
0,ADJ,state-owned
0,NOUN,cars
0,ADP,to
0,DET,the
0,NOUN,extent
0,ADP,that
0,NOUN,vehicles
0,VERB,are
0,ADV,not
0,VERB,retained
0,ADP,beyond
0,DET,the
0,NOUN,point
0,ADV,where
0,NOUN,maintenance
0,NOUN,costs
0,.,(
0,ADP,in
0,NOUN,light
0,ADP,of
0,NOUN,depreciation
0,.,)
0,VERB,become
0,ADJ,excessive
0,.,.
0,ADV,Moreover
0,.,","
0,PRON,it
0,VERB,allows
0,DET,the
0,ADJ,present
0,NOUN,management
0,PRT,to
0,VERB,reassign
0,NOUN,vehicles
0,ADP,so
0,ADP,that
0,NOUN,mileage
0,VERB,will
0,VERB,be
0,ADV,more
0,ADV,uniformly
0,VERB,distributed
0,ADP,throughout
0,DET,the
0,NOUN,fleet
0,.,;
0,.,;
0,ADP,for
0,NOUN,example
0,.,","
0,ADP,if
0,NUM,one
0,NOUN,driver
0,VERB,puts
0,PRT,on
0,NUM,"22,000"
0,NOUN,miles
0,ADP,per
0,NOUN,year
0,CONJ,and
0,DET,another
0,NOUN,driver
0,NUM,"8,000"
0,NOUN,miles
0,ADP,per
0,NOUN,year
0,.,","
0,DET,their
0,NOUN,cars
0,VERB,will
0,VERB,be
0,VERB,switched
0,ADP,so
0,ADP,that
0,DET,both
0,NOUN,cars
0,VERB,will
0,VERB,have
0,NUM,"30,000"
0,NOUN,miles
0,ADP,after
0,NUM,two
0,NOUN,years
0,.,","
0,ADP,rather
0,ADP,than
0,NUM,"44,000"
0,NOUN,miles
0,.,(
0,CONJ,and
0,VERB,related
0,ADJ,higher
0,NOUN,maintenance
0,NOUN,costs
0,.,)
0,CONJ,and
0,NUM,"16,000"
0,NOUN,miles
0,ADV,respectively
0,.,''
0,.,.
0,DET,The
0,NOUN,motor
0,NOUN,pool
0,VERB,is
0,DET,a
0,ADV,completely
0,VERB,centralized
0,CONJ,and
0,VERB,mechanized
0,NOUN,operation
0,.,.
0,PRON,It
0,VERB,handles
0,PRT,all
0,NOUN,types
0,ADP,of
0,NOUN,vehicle
0,NOUN,maintenance
0,.,","
0,CONJ,but
0,VERB,concentrates
0,ADV,more
0,ADP,on
0,.,``
0,NOUN,service
0,NOUN,station
0,NOUN,activities
0,.,''
0,ADP,than
0,ADP,on
0,ADJ,extensive
0,NOUN,vehicle
0,NOUN,repairs
0,.,.
0,PRON,It
0,VERB,contracts
0,ADP,with
0,ADJ,outside
0,NOUN,repair
0,NOUN,garages
0,ADP,for
0,ADJ,much
0,ADP,of
0,DET,the
0,ADJ,latter
0,NOUN,work
0,.,.
0,ADV,Where
0,DET,the
0,NOUN,pool
0,VERB,excels
0,VERB,is
0,ADP,in
0,DET,its
0,NOUN,compilation
0,ADP,of
0,NOUN,maintenance
0,CONJ,and
0,NOUN,cost-data
0,NOUN,studies
0,CONJ,and
0,NOUN,analyses
0,.,.
0,NOUN,Pool
0,NOUN,records
0,VERB,reveal
0,ADP,in
0,NOUN,detail
0,DET,the
0,NOUN,cost
0,ADP,per
0,NOUN,mile
0,CONJ,and
0,NOUN,miles
0,ADP,per
0,NOUN,gallon
0,ADP,of
0,DET,each
0,NOUN,vehicle
0,.,","
0,DET,the
0,NOUN,miles
0,VERB,traveled
0,ADP,in
0,NUM,one
0,NOUN,year
0,CONJ,or
0,NUM,three
0,NOUN,years
0,.,","
0,DET,the
0,NOUN,periods
0,ADV,when
0,NOUN,vehicle
0,NOUN,costs
0,VERB,become
0,ADJ,excessive
0,.,","
0,CONJ,and
0,ADV,when
0,NOUN,cars
0,VERB,should
0,VERB,be
0,VERB,traded
0,ADP,for
0,ADJ,sound
0,NOUN,economies
0,.,.
0,ADP,From
0,DET,this
0,.,","
0,NOUN,motor
0,NOUN,pool
0,NOUN,personnel
0,VERB,develop
0,ADJ,other
0,ADJ,meaningful
0,CONJ,and
0,VERB,related
0,NOUN,data
0,.,.
0,ADP,In
0,NUM,1959-60
0,.,","
0,NOUN,vehicles
0,VERB,averaged
0,DET,an
0,VERB,operating
0,NOUN,cost
0,ADP,of
0,NOUN,$.027
0,ADP,per
0,NOUN,mile
0,.,.
0,VERB,Based
0,ADP,on
0,DET,this
0,NOUN,figure
0,CONJ,and
0,VERB,considering
0,NOUN,depreciation
0,NOUN,costs
0,ADP,of
0,NOUN,vehicles
0,.,","
0,NOUN,pool
0,NOUN,personnel
0,VERB,have
0,VERB,determined
0,ADP,that
0,NOUN,travel
0,ADP,in
0,NOUN,excess
0,ADP,of
0,NUM,"10,000"
0,NOUN,miles
0,ADV,annually
0,VERB,is
0,ADV,more
0,ADJ,economical
0,ADP,by
0,NOUN,state
0,NOUN,car
0,ADP,than
0,ADP,by
0,NOUN,payment
0,ADP,of
0,NOUN,allowances
0,ADP,for
0,NOUN,use
0,ADP,of
0,ADJ,personally-owned
0,NOUN,vehicles
0,.,.
0,PRON,They
0,VERB,estimate
0,ADV,further
0,ADP,that
0,ADP,with
0,ADJ,sufficient
0,NOUN,experience
0,CONJ,and
0,ADV,when
0,NOUN,cost-data
0,ADP,of
0,ADJ,compact
0,NOUN,cars
0,VERB,is
0,VERB,compiled
0,.,","
0,DET,the
0,ADJ,break-even
0,NOUN,point
0,VERB,may
0,VERB,be
0,VERB,reduced
0,ADP,to
0,NUM,"7,500"
0,NOUN,miles
0,ADP,of
0,NOUN,travel
0,ADP,per
0,NOUN,year
0,.,.
0,NOUN,Table
0,NUM,2
0,VERB,shows
0,VERB,operating
0,NOUN,cost
0,NOUN,data
0,ADP,of
0,NOUN,state
0,NOUN,vehicles
0,VERB,selected
0,ADP,at
0,NOUN,random
0,.,.
0,NUM,One
0,NOUN,matter
0,ADP,of
0,NOUN,concern
0,ADP,to
0,DET,the
0,ADJ,complete
0,NOUN,effectiveness
0,ADP,of
0,NOUN,pool
0,NOUN,operations
0,VERB,is
0,DET,the
0,NOUN,lack
0,ADP,of
0,ADJ,adequate
0,ADJ,central
0,NOUN,garage
0,NOUN,facilities
0,.,.
0,ADJ,Present
0,NOUN,pool
0,NOUN,quarters
0,ADP,at
0,NUM,two
0,NOUN,locations
0,ADP,in
0,NOUN,Providence
0,VERB,are
0,VERB,crowded
0,.,","
0,ADJ,antiquated
0,CONJ,and
0,.,","
0,ADP,in
0,ADJ,general
0,.,","
0,VERB,make
0,ADP,for
0,ADJ,inefficient
0,NOUN,operation
0,ADP,in
0,NOUN,terms
0,ADP,of
0,NOUN,dispersement
0,ADP,of
0,NOUN,personnel
0,CONJ,and
0,NOUN,duplication
0,ADP,of
0,ADJ,such
0,ADJ,operational
0,NOUN,needs
0,ADP,as
0,NOUN,stock
0,CONJ,and
0,NOUN,repair
0,NOUN,equipment
0,.,.
0,ADJ,Good
0,NOUN,facilities
0,VERB,would
0,VERB,be
0,DET,a
0,VERB,decided
0,NOUN,help
0,ADP,to
0,NOUN,pool
0,NOUN,operations
0,CONJ,and
0,ADV,probably
0,VERB,reduce
0,NOUN,vehicle
0,NOUN,costs
0,ADV,even
0,ADV,more
0,.,.
0,VERB,Purchasing
0,NOUN,practices
0,.,.
0,DET,The
0,NOUN,purchase
0,ADP,of
0,ADJ,state-owned
0,NOUN,vehicles
0,VERB,is
0,VERB,handled
0,ADP,in
0,DET,the
0,ADJ,same
0,NOUN,manner
0,ADP,as
0,PRT,all
0,ADJ,other
0,NOUN,purchases
0,ADP,of
0,DET,the
0,NOUN,state
0,.,.
0,NOUN,Requests
0,VERB,are
0,VERB,made
0,ADP,by
0,DET,the
0,NOUN,motor
0,NOUN,pool
0,ADP,along
0,ADP,with
0,DET,any
0,ADJ,necessary
0,NOUN,cooperation
0,ADP,from
0,DET,the
0,NOUN,agencies
0,ADP,to
0,DET,which
0,NOUN,assignments
0,ADP,of
0,NOUN,cars
0,VERB,will
0,VERB,be
0,VERB,made
0,.,.
0,NOUN,Bids
0,VERB,are
0,VERB,evaluated
0,ADP,by
0,DET,the
0,NOUN,Division
0,ADP,of
0,NOUN,Purchases
0,ADP,with
0,DET,the
0,NOUN,assistance
0,ADP,of
0,NOUN,pool
0,NOUN,staff
0,.,","
0,CONJ,and
0,NOUN,awards
0,ADP,for
0,DET,the
0,NOUN,purchase
0,ADP,of
0,DET,the
0,NOUN,automobiles
0,VERB,are
0,VERB,made
0,ADP,to
0,DET,the
0,ADJ,lowest
0,ADJ,responsible
0,NOUN,bidders
0,.,.
0,NOUN,Unit
0,NOUN,prices
0,ADP,for
0,NOUN,state
0,NOUN,vehicles
0,VERB,are
0,ADV,invariably
0,ADJ,lower
0,ADP,than
0,ADP,to
0,DET,the
0,ADJ,general
0,NOUN,public
0,.,.
0,DET,The
0,NOUN,reasons
0,VERB,are
0,ADJ,obvious
0,.,:
0,.,(
0,NUM,1
0,.,)
0,DET,the
0,NOUN,state
0,VERB,is
0,VERB,buying
0,ADP,in
0,NOUN,quantity
0,.,","
0,CONJ,and
0,.,(
0,NUM,2
0,.,)
0,PRON,it
0,VERB,has
0,DET,no
0,ADJ,federal
0,NOUN,excise
0,CONJ,or
0,NOUN,state
0,NOUN,sales
0,NOUN,tax
0,PRT,to
0,VERB,pay
0,.,.
0,ADP,Until
0,NUM,1958
0,DET,the
0,NOUN,state
0,VERB,was
0,ADV,also
0,VERB,entitled
0,ADP,to
0,DET,a
0,ADJ,special
0,NOUN,type
0,ADP,of
0,NOUN,manufacturers'
0,NOUN,discount
0,ADP,through
0,DET,the
0,NOUN,dealers
0,.,.
0,ADP,In
0,ADP,that
0,NOUN,ownership
0,ADP,of
0,PRT,all
0,NOUN,vehicles
0,VERB,rests
0,ADP,with
0,DET,the
0,NOUN,state
0,NOUN,motor
0,NOUN,pool
0,.,","
0,NOUN,cars
0,VERB,are
0,VERB,paid
0,ADP,for
0,ADP,with
0,NOUN,funds
0,VERB,appropriated
0,ADP,to
0,DET,the
0,NOUN,agencies
0,CONJ,but
0,VERB,transferred
0,ADP,to
0,DET,the
0,ADJ,rotary
0,NOUN,fund
0,VERB,mentioned
0,ADV,earlier
0,.,.
0,DET,This
0,VERB,is
0,DET,a
0,ADJ,normal
0,ADJ,governmental
0,NOUN,procedure
0,DET,which
0,VERB,reflects
0,ADV,more
0,ADV,accurately
0,NOUN,cost-accounting
0,NOUN,principles
0,.,.
0,DET,The
0,NOUN,assignment
0,CONJ,and
0,NOUN,use
0,ADP,of
0,NOUN,vehicles
0,ADP,after
0,NOUN,purchase
0,VERB,is
0,DET,another
0,NOUN,matter
0,PRT,to
0,VERB,be
0,VERB,covered
0,ADP,in
0,NOUN,detail
0,ADV,later
0,.,.
0,NOUN,Vehicle
0,NOUN,purchase
0,.,","
0,NOUN,assignment
0,.,","
0,CONJ,and
0,NOUN,use
0,NOUN,policies
0,ADV,Probably
0,DET,the
0,ADV,most
0,ADJ,important
0,ADP,of
0,PRT,all
0,NOUN,matters
0,ADP,for
0,NOUN,review
0,VERB,are
0,DET,the
0,ADJ,broad
0,ADJ,administrative
0,NOUN,policies
0,VERB,governing
0,DET,the
0,NOUN,purchase
0,.,","
0,NOUN,assignment
0,.,","
0,NOUN,use
0,.,","
0,CONJ,and
0,NOUN,management
0,ADP,of
0,NOUN,state
0,NOUN,vehicles
0,.,.
0,DET,The
0,NOUN,legislature's
0,NOUN,role
0,ADP,in
0,NOUN,policy
0,NOUN,determination
0,ADP,in
0,DET,this
0,NOUN,area
0,ADP,for
0,NOUN,years
0,VERB,has
0,VERB,been
0,VERB,confined
0,ADV,almost
0,ADV,solely
0,ADP,to
0,DET,the
0,NOUN,amount
0,ADP,of
0,NOUN,funds
0,VERB,appropriated
0,ADV,annually
0,ADP,for
0,DET,the
0,NOUN,purchase
0,CONJ,and
0,NOUN,operation
0,ADP,of
0,NOUN,vehicles
0,.,.
0,DET,The
0,ADV,more
0,ADJ,meaningful
0,NOUN,policies
0,VERB,have
0,VERB,been
0,VERB,left
0,ADP,to
0,DET,the
0,NOUN,judgment
0,ADP,of
0,DET,the
0,ADJ,chief
0,ADJ,administrative
0,NOUN,officer
0,ADP,of
0,DET,the
0,NOUN,state
0,.,--
0,DET,the
0,NOUN,Director
0,ADP,of
0,NOUN,Administration
0,.,.
0,DET,The
0,NOUN,Rhode
0,NOUN,Island
0,NOUN,property
0,NOUN,tax
0,PRT,There
0,VERB,was
0,DET,a
0,NOUN,time
0,DET,some
0,NOUN,years
0,ADV,ago
0,ADV,when
0,ADJ,local
0,NOUN,taxation
0,ADP,by
0,DET,the
0,NOUN,cities
0,CONJ,and
0,NOUN,towns
0,VERB,was
0,ADJ,sufficient
0,PRT,to
0,VERB,support
0,DET,their
0,ADJ,own
0,NOUN,operations
0,CONJ,and
0,DET,a
0,NOUN,part
0,ADP,of
0,DET,the
0,NOUN,cost
0,ADP,of
0,DET,the
0,NOUN,state
0,NOUN,government
0,ADV,as
0,ADV,well
0,.,.
0,ADP,For
0,ADJ,many
0,NOUN,years
0,DET,a
0,NOUN,state
0,NOUN,tax
0,ADP,on
0,NOUN,cities
0,CONJ,and
0,NOUN,towns
0,VERB,was
0,VERB,paid
0,ADP,by
0,DET,the
0,ADJ,several
0,NOUN,municipalities
0,ADP,to
0,DET,the
0,NOUN,state
0,ADP,from
0,DET,the
0,NOUN,proceeds
0,ADP,of
0,DET,the
0,ADJ,general
0,NOUN,property
0,NOUN,tax
0,.,.
0,DET,This
0,NOUN,tax
0,VERB,was
0,VERB,discontinued
0,ADP,in
0,NUM,1936
0,.,.
0,ADP,Since
0,DET,that
0,NOUN,time
0,DET,the
0,NOUN,demands
0,ADP,of
0,DET,the
0,NOUN,citizens
0,ADP,for
0,ADJ,new
0,CONJ,and
0,VERB,expanded
0,NOUN,services
0,VERB,have
0,VERB,placed
0,ADJ,financial
0,NOUN,burdens
0,ADP,on
0,DET,the
0,NOUN,state
0,DET,which
0,VERB,could
0,ADV,not
0,VERB,have
0,VERB,been
0,VERB,foreseen
0,ADP,in
0,ADJ,earlier
0,NOUN,years
0,.,.
0,ADP,At
0,DET,the
0,ADJ,same
0,NOUN,time
0,PRT,there
0,VERB,has
0,VERB,been
0,DET,an
0,NOUN,upgrading
0,CONJ,and
0,NOUN,expansion
0,ADP,of
0,ADJ,municipal
0,NOUN,services
0,ADV,as
0,ADV,well
0,.,.
0,ADV,Thus
0,.,","
0,PRT,there
0,VERB,has
0,VERB,come
0,ADP,into
0,VERB,being
0,DET,a
0,NOUN,situation
0,ADP,in
0,DET,which
0,DET,the
0,NOUN,state
0,VERB,must
0,VERB,raise
0,PRT,all
0,ADP,of
0,DET,its
0,ADJ,own
0,NOUN,revenues
0,CONJ,and
0,.,","
0,ADP,in
0,NOUN,addition
0,.,","
0,VERB,must
0,VERB,give
0,NOUN,assistance
0,ADP,to
0,DET,its
0,ADJ,local
0,NOUN,governments
0,.,.
0,DET,This
0,ADJ,financial
0,NOUN,assistance
0,ADP,from
0,DET,the
0,NOUN,state
0,VERB,has
0,VERB,become
0,ADJ,necessary
0,ADP,because
0,DET,the
0,ADJ,local
0,NOUN,governments
0,PRON,themselves
0,VERB,found
0,DET,the
0,NOUN,property
0,NOUN,tax
0,.,","
0,CONJ,or
0,ADP,at
0,ADJ,least
0,ADP,at
0,DET,the
0,NOUN,rates
0,ADV,then
0,VERB,existing
0,.,","
0,ADJ,insufficient
0,ADP,for
0,DET,their
0,NOUN,requirements
0,.,.
0,ADV,Consequently
0,PRT,there
0,VERB,have
0,VERB,developed
0,ADJ,several
0,NOUN,forms
0,ADP,of
0,NOUN,grants-in-aid
0,CONJ,and
0,VERB,shared
0,NOUN,taxes
0,.,","
0,ADV,as
0,ADV,well
0,ADP,as
0,DET,the
0,ADJ,unrestricted
0,NOUN,grant
0,ADP,to
0,ADJ,local
0,NOUN,governments
0,ADP,for
0,ADJ,general
0,NOUN,purposes
0,DET,whose
0,NOUN,adoption
0,VERB,accompanied
0,DET,the
0,NOUN,introduction
0,ADP,of
0,DET,a
0,NOUN,sales
0,VERB,tax
0,ADP,at
0,DET,the
0,NOUN,state
0,NOUN,level
0,.,.
0,ADP,Notwithstanding
0,NOUN,state
0,NOUN,aid
0,.,","
0,DET,the
0,ADJ,local
0,NOUN,governments
0,VERB,are
0,VERB,continuing
0,PRT,to
0,VERB,seek
0,ADJ,additional
0,NOUN,revenue
